user,word,time
trung,điện tích,20:07:53 20/01/2026
trung,điện tích,20:09:46 20/01/2026
trung,điện tích,20:11:21 20/01/2026
trung,điện tích,20:50:42 20/01/2026
trung,điện tích,21:07:43 20/01/2026
trung,điện tích,21:13:17 20/01/2026
trung,điện tích,21:14:45 20/01/2026
trung,điện tích,21:18:00 20/01/2026
trung,điện tích,21:28:48 20/01/2026
trung,điện tích,21:32:15 20/01/2026
trung,điện tích,21:39:30 20/01/2026
trung,điện trường,21:42:24 20/01/2026
trung,điện tích,21:54:56 20/01/2026
trung,điện tích,21:56:50 20/01/2026
trung,dòng điện chạy qua dây dẫn,22:00:50 20/01/2026
trung,hiệu điện thế,22:01:14 20/01/2026
trung,điện tích,22:12:02 20/01/2026
